55785e_10	 Am spart ușile unei cabine și am căzut la pământ...	 Am dat buzna printre uși și am căzut.
130396e_140	 În 2000, PNB a fost mai mic decât PIB, deoarece veniturile încasate din restul lumii au fost mai mici decât plățile SUA către restul lumii.	 SUA a plătit mai mult către restul lumii decât a primit restul lumii ca venit.
11647e_157	 Pentru a fi sigur că orice obiect de broderie este autentic (spre deosebire de o piesă inferioară de import sau fabricată la mașină), căutați un sigiliu de plumb cu un M, emblema IBTAM, ceea ce înseamnă că a fost certificat de Instituto de Bordado, Tapecaras e Arte?sanato da Madeira (Institutul de Broderie, Tapiserie și Artizanat din Madeira), o organizație oficială a insulei care are o sală de expoziții/muzeu pe Rua Visconde de Anadia, 44.	 Există un sigiliu pentru a arăta autenticitatea. 
14315e_164	 locuiesc în apropiere	 Casa lor e aproape de aici?
107049e_171	 Într-adevăr, Sir Ernest, a protestat judecătorul, "aceste întrebări nu sunt relevante".  Sir Ernest s-a înclinat și, după ce și-a tras săgeata, a continuat. 	 Sir Ernest și-a aplecat ușor capul și a continuat.
22382e_199	 Lorenzo Magnificul și fratele său Giuliano se află în morminte simple sub Madona cu Pruncul a sculptorului, flancați de statui ale sfinților patroni ai familiei, Cosma și Damian, realizate de artiști mai mici.	 Lorenzo și Giuliano erau rude unul cu celălalt.
120702n_231	 Automobilele includ camioanele mici.	 Camioanele mici nu sunt automobile grozave.
112n_256	 Ideea nu este că investiția în companii străine este neapărat o greșeală.	 Plasarea de bani în companii străine prezintă un risc mare.
15499n_282	 Da, ei bine, noi nu suntem marinari, dar vreau ca în curând, în vară, să închiriem o barcă cu pânze și un căpitan, pentru că nu suntem versați în asta și să mergem în Caraibe.	 A navigat un pic.
74175e_286	 uh, știi, dacă ai o scurgere mare de acid, știi, poate ar fi mai bine să verifici persoana care manevrează toți acești acizi, știi, lucrez la o fabrică de wafere, așa că avem de-a face cu multe chimicale și acizi și...	 Acidul este manipulat de lucrători. 
95860e_313	 Sau nu s-a gândit cu adevărat la asta, ceea ce ar pune la îndoială profunzimea credinței sale.	 Credința îi poate lipsi.
7210n_314	 Externalitățile de rețea sunt la modă.	 Publicul nu este informat cu privire la modul în care funcționează rețeaua.
83779n_320	 care poate fi o mizerie am campat pe plajă o dată și a fost un fel de mizerabil nu puteai oriunde te duceai era nisip nu puteai nici măcar când mâncai era în patul tău.	 Este o idee proastă să campezi și să mănânci pe o plajă.
11491c_322	 Depunerea acidă sau ploaia acidă apare atunci când SO2 și NOx din atmosferă reacționează cu apa, oxigenul și oxidanții pentru a forma compuși acizi.	 Apa și azotul din atmosferă provoacă ploaia acidă.
111059c_341	 Din 1917, Grand Central Market (la 317 South Broadway) oferă zilnic orașului o abundență de produse proaspete, pește, păsări, carne și produse alimentare exotice.	 Până în 1917, în Piața Centrală se dădea mâncare gratis.
60164n_355	 Rips a fost suficient de înfuriat de acceptarea de către Statistical Science a articolului de respingere, încât a angajat un avocat, care a informat revista că acuzațiile din articolul ce urma să fie publicat ...	 Rips a fost înfuriat de acceptarea de către Stastical Science a respingerii și de atitudinea lor nonșalantă, așa că a angajat un avocat care să sfătuiască revista care acuzațiile pe cale să fie publicate...
140723e_357	 cred că la alegerile locale, de fapt, cred că oamenii votează la alegerile mai mari pentru că simt că țara este foarte importantă și că dacă aleg un președinte care ne va salva, atunci întreaga țară va fi salvată, dar cred că alegerile locale nu înseamnă atât de mult, așa că oamenii nu-și fac griji pentru primarul local sau ceva de genul ăsta. 	 Cred că la alegerile prezidențiale votează mai mulți oameni decât la cele locale.
72441e_413	 Bătrânii ar putea dori să navigheze cu ambarcațiunile lor charter în largul mării spre insulele olandeze mai mici Sint Eustatius sau Saba, sau spre Saint-Barthelemy din Franța.	 Dacă sunteți în căutarea unor opțiuni diferite, puteți lua nava charter spre una dintre insulele mai puțin populare din apropiere.
94231e_415	 În ultimii ani ai vieții sale, Chambers a început să aibă tot mai multe rezerve față de direcția pe care o lua dreapta americană, distanțându-se mai întâi de Joe McCarthy, apoi de Richard Nixon și chiar de National Review a lui William Buckley Jr.  Dar importanța lui Chambers nu stă, în cele din urmă, în politica sa, ci în înclinația sa romantică pentru extremele subteranelor psihice și politice.	 Chambers a construit un zid între el și McCarthy și Nixon.
59806e_417	 Locul era un mormânt viu... .	 Nu era mai mult decât un mormânt viu.
91580e_419	 Stânca de piatră neagră de bazalt, care se ridica dramatic, făcea castelul inexpugnabil pentru toți, cu excepția celui mai viclean comandant.	 Castelul era sigur datorită apropierii sale de o stâncă.
19784n_451	 Era o liniște deplină.	 Nu era prea mult zgomot în aer.
71005e_465	 Gigot crede că procedurile de fraudă fiscală împotriva lui Hubbell sunt legitime și obișnuite, în timp ce toți ceilalți consideră că acuzațiile sunt niște mini-crime inventate cu scopul de a-l stoarce pe Hubbell pentru a-i da lui Starr ceea ce vrea - cooperare.	 Există un dezacord cu privire la faptul că acuzațiile de fraudă fiscală ale lui Hubbell sunt conduse în mod corespunzător.
144779e_535	 Elogiile se îndreaptă către Kirstie Alley, care joacă rolul unui fost model îmbătrânit, acum în lenjerie intimă Mai puțin frenetică decât Lucy, mai matură decât Mary (Richard Corliss, Time ).  Tom Shales de la Washington Post 's nu este de acord, numind-o pe Alley nevrotică de neuitat și într-o febrilitate aproape perpetuă.	 Kirstie Alley joacă rolul unui fost fotomodel mai în vârstă în serialul TV.
99522e_543	 ei bine, un alt lucru pe care am observat că s-a schimbat de-a lungul anilor și nu suntem foarte siguri ce vrem să facem cu el în mod public, dar învățăturile, ideile care sunt predate nu sunt întotdeauna de acord cu ceea ce i-am învăța noi, fie din punct de vedere moral, fie din punct de vedere al modului de a gestiona o anumită situație.	 Am observat că profesorii spun lucruri cu care nu suntem de acord.
74411e_561	 NJP gestionează CLEAR - Sistemul coordonat de educație juridică și de trimitere - pentru a oferi servicii de trimitere telefonică și pe internet, consiliere, servicii de informare, educație juridică comunitară și servicii de primire în tot statul.	 NJP oferă ajutor și asistență pe internet pentru cei care caută ajutor juridic.
120220n_580	 Ceea ce este complet intolerabil este să fii citat cu exactitate și să fii văzut - chiar și de tine însuți - că nu ești mai bun decât ești de fapt.	 Ceea ce este complet intolerabil este să fii citat cu exactitate și totuși să ieși prost.
72945e_583	 așa că am scos cablajul, motorul, transmisia și toate celelalte și le-am pus în carapacea care a fost arsă, am sablat-o și am vopsit-o, iar el mi-a construit o mașină.	 Am transferat motorul și transmisia într-o altă caroserie.
58894c_598	 Gaaaaandhi, s-a dus, s-a dus, s-a dus.	 Gandhi este lângă mine.
141081n_628	 Shenzhen a fost prima zonă economică specială din China.	 În China se afla Shenzhen, care a fost prima și singura zonă economică specială din China.
6284c_659	 Există unii oameni deștepți - în special Jeffrey Sachs de la Harvard - care cred acest lucru, dar părerea mea este că economiile asiatice au ieșit serios de pe șine cu mult înainte de vara trecută și că un fel de răsplată neplăcută era inevitabilă.	 Cred că economiile asiatice se descurcă foarte bine.
76237e_665	 lucrez pe cont propriu, am un Trans Am din 1980 pe care îl am de când era nou.	 Lucrez singur și dețin, de asemenea, un Trans Am 1980.
3540e_673	 Unul dintre brațele sale era un cârlig.	 Avea un cârlig în loc de un braț.
137967e_692	 De ce nu m-ați omorât imediat înainte de a-mi recăpăta cunoștința?".  Germanul a ezitat, iar Tommy a profitat de avantaj.	 Germanul a așteptat prea mult și i-a dat un avantaj lui Tommy.
98497c_716	 Nu are nevoie de o poveste de acoperire sau de un alt loc de muncă ca director media de mare putere, așa că nu are niciun motiv să mintă în legătură cu plecarea sa.	 Nu are de gând să părăsească compania.
107291e_728	 Orice lucru sigur atrage prea multe idei banale, precum cea a lui Wolff, și prea mulți bani proști.	 Când ceva este un lucru sigur, ideile banale și banii nesăbuiți vor urma cu siguranță.
66145e_737	 Numeroasele stele cu șase vârfuri așezate în montanții arcadelor principale nu reprezintă Steaua lui David evreiască, ci o emblemă ezoterică pe care o veți vedea peste tot în țară.	 Stelele cu șase vârfuri pe care le veți vedea peste tot în țară sunt asemănătoare cu Steaua lui David a evreilor.
16509e_745	 În principal datorită activităților mater.  Satul Styles St. Mary era situat la aproximativ două mile de mica stație, iar Styles Court se afla la o milă de cealaltă parte a acesteia. 	 Styles St. Mary era mai departe de gară decât Styles Court. 
52568e_751	 soțul meu a ieșit la pensie, dar nu este un grădinar, m-a ajutat mai mult, dar nu este foarte pasionat de grădinărit.	 Soțul meu mă ajută cu grădina, dar nu prea îi place să o facă.
56317e_763	 Nu-i veți invidia pe bărbații și femeile pe care îi vedeți lucrând pe câmp sub soarele arzător, dar nu sunt niciodată prea obosiți pentru a vă întoarce salutul cu un zâmbet.	 Oamenii care muncesc afară sunt optimiști și amabili.
57845n_771	 Aveam chestii pentru Sanger Harris și am ajuns la câteva sute de dolari și m-am gândit că e în regulă, pentru că tot ce vroiau erau zece dolari pe lună, nu mă gândeam la nimic.	 Nu știam că acel zece era de fapt o mie.
18430e_777	 Oh, înțeleg, deci dacă ai pământ proaspăt, ei vor...	 Dacă aveți murdărie proaspătă, pot să văd asta.
122784n_784	 Am văzut o potecă pe marginea drumului.	 Era o cărare care se îndepărta de drum.
74178c_794	 Nu avem prea mult spațiu de manevră în ceea ce privește "unul sau două pahare pe zi", a spus el, iar ceea ce nu se știe este dacă încurajarea consumului moderat de alcool va încuraja și consumul excesiv de alcool.	 Este un fapt dovedit că încurajarea consumului moderat de alcool nu crește rata de consum excesiv de alcool.
36070e_813	 Articole din piele.	 Articole din piele naturală.
23788n_828	 Dar adevărata problemă cu diGenova și Toensing nu este dependența lor de experți sau neglijarea unei investigații pe care democrații ar neglija-o oricum.	 Atât diGenova, cât și Toensing nu au niciun motiv personal pentru a acorda atenție anchetei.
98276c_843	 Ce vrei să spui?	 Când a fost asta?
91128c_847	 să se asigure că nu va trebui să o facă din nou, să facă hot-dog sau niște chipsuri de cartofi sau	 Asigurați-vă că aveți fripturi și cartofi. 
3620n_886	 Cred că a funcționat", a spus ea aproximativ o lună mai târziu, înainte de a ieși într-un club, iar tatăl ei a avut o vagă impresie că pe fața fiicei sale erau mai mult sau mai puțin de trei coșuri.	 Tatăl credea că fiica sa avea de obicei o mulțime de coșuri.
658e_917	 doar dacă nu mănânci ca un cartof copt sau ceva de genul ăsta.	 Cu excepția cazului în care mâncați un cartof care a fost gătit în cuptor.
38904c_928	 Astăzi, acțiunea se desfășoară în piețele alimentare și în buticurile de pe malul vestic al Marelui Canal.	 Piețele alimentare se află toate pe malul estic al canalului.
16254e_932	 știi că dacă cuiva îi este foame	 dacă o persoană vrea să te mănânce înțelege că
21537e_950	 Mi-a fost greu să iert lucrurile pe care le-ai spus împotriva dragului meu soț, dar sunt o femeie bătrână și țin foarte mult la tine A ta cu afecțiune, Emily Inglethorpe 79 A fost înmânată juriului, care a examinat-o cu atenție. 	 Sunt o doamnă în vârstă care te place foarte mult.
120748e_1007	 uh-huh știu că în Costa Rica nu permit nimănui să vină, să vină orice fel de imigranți, nu permit nimic de genul ăsta, de exemplu, nu aș putea să mă duc în Costa Rica și să trăiesc ca cetățean american, nu mi-ar permite să mă mut acolo să lucrez, nu mi-ar permite, locurile de muncă sunt pentru costaricanii din Costa Rica, nu permit ca oamenii să se mute în țări mai mici și să ia locurile de muncă.	 În Costa Rica, imigrația cetățenilor americani este interzisă.
51795e_1019	 dar au mers tot sezonul ăsta și au avut toate aceste situații și apoi la sfârșitul sezonului au aflat că totul a fost un vis.	 Întregul sezon s-a derulat înainte de a se descoperi că era un vis pe care îl avea Pam.
58213c_1025	 Altceva? 	 Întrebarea este dacă mai există și altundeva.
93453e_1043	 Toate acele povești cu apași care se strecurau la distanță de garda de la Stronghold....  De ce, doar anul trecut, tânărului băiat Rivas i-a fost tăiat gâtul în lanul de fân, la vederea casei sale!	 Băiatul din Rivas a fost ucis în urmă cu un an.
88149n_1055	 Dintr-o dată, Tuppence a sărit în sus cu un strigăt.	 Tuppence s-a așezat pe ceva ascuțit, făcându-l să sară în sus.
97269c_1057	 Adrin s-a ferit pe dedesubt, s-a învârtit, iar cei doi bărbați s-au luptat din nou.	 Adrin a sărit deasupra bărbatului și a început să se agațe de el.
124964c_1168	 După călătoria lui Cook, un flux mic, dar constant de nave americane și europene, deja angajate în comerțul cu China, au început să folosească Hawaii ca o escală convenabilă și foarte necesară.	 Europenii și americanii se odihnesc în Hawaii în timpul călătoriilor lungi cu mult înainte de Cook.
96571e_1189	 Ăsta e Major Dad la opt ani, cred că e.	 Cred că "Major Dad" începe la ora opt.
105154e_1190	 știi, e ca și cum nu te duci acolo și spui nu, ascultă, e o țară separată, de ce, pentru că te duci la graniță?	 Nu se va întâmpla ca și cum ai intra și le-ai spune lucruri.
31986c_1193	 Întrebările importante, subliniate mai sus, sunt mai relative și dacă promisiunile democraților de a se abține de la cheltuirea surplusului sunt mai puțin demne de încredere decât promisiunile republicane de a combina reducerile de taxe cu reduceri de cheltuieli, și care eroare ipotetică - cheltuieli excesive sau reduceri excesive de taxe - ar fi mai greu de inversat.	 Este greu de determinat cine este mai sincer între democrații care promit să reducă taxele și republicanii care vorbesc despre salvarea excedentului.
139374c_1233	 cred că poți să faci din asta ceea ce dorești și poți să mergi în direcția opusă și să exagerezi cu toate volanele, dantelele, volanele și alte chestii care nu au ce căuta la locul de muncă, cel puțin după părerea mea, dar poți să ai un look clasic, fără prea multe ornamente și alte chestii, și totuși să fii foarte feminină, pentru că ăsta a fost un lucru împotriva căruia am luptat mereu, am început ca profesor de educație fizică.	 Cu cât o femeie arată mai feminină la locul de muncă, cu atât mai bine.
71359c_1238	 Jon s-a ridicat, a aruncat o ultimă privire la Susan și a plecat.	 Jon și Susan au plecat împreună.
143492n_1245	 La câteva lovituri lungi de fairway departe de locul de naștere al lui Josephine, la La Pagerie, se află terenul de golf public de 18 găuri din Martinica.	 Josephine s-a născut să țină în mână o crosă de golf și să bage putts.
98322e_1249	 În cele din urmă, pentru a simula efectele actualizării cotelor, valoarea cotelor realocate poate fi calculată și scăzută din costul de producție al fiecărei unități - determinând astfel fiecare unitate să își modifice nivelul de producție care maximizează profitul ca răspuns la un anumit set de prețuri ale combustibilului, ale cotelor și ale energiei electrice.	 Valoarea cotelor realocate poate fi calculată și scăzută din costul fiecărei unități.
112136e_1288	 Nu puteam decât să sper că aveam suficient timp pentru a ieși din raza de acțiune a exploziei.	 M-am tot rugat să fim suficient de rapizi pentru a ieși din zona de impact a bombei.
71850e_1289	 Nord ar fi fost capturată de către Ochi.	 Ochiul era o amenințare pentru Nord.
18626e_1323	 Economia ar putea fi și mai bună.	 Încă mai este loc de îmbunătățiri.
112523e_1328	 Rănirea ca factor de motivare pentru reducerea consumului de alcool.	 Terapia de aversiune aplicată la consumul excesiv de alcool.
88212n_1349	 Într-adevăr, multe dintre covoare par prea frumoase pentru a merge pe ele, dar sunt superbe pentru a fi atârnate pe pereți și, chiar dacă nu vă puteți reîmprumuta casa pentru a cumpăra unul mare, chiar și un covor modest de noptieră poate face minuni pentru a încălzi și lumina o cameră.	 Toate covoarele ar putea servi ca minunate tapiserii de perete. 
146130e_1366	 Altfel, mă voi gândi la altceva."   Dave l-a urmat pe bărbat în luminiș.	 Dave l-a urmărit pe bărbat în timp ce vorbeau între ei.
68767e_1378	 La scurt timp după preluarea mandatului, l-a primit pe Frank Zappa în cadrul unei vizite de stat.	 El l-a întreținut pe Frank Zaappa după preluarea mandatului.
116006e_1389	 Drew stătea și privea cum se ridica din nou praful în timp ce trioul de călăreți se îndepărta.	 Drew i-a privit pe cei trei călăreți plecând.
29606e_1416	 Da, unul dintre lucrurile pe care au încercat să le impună în Maryland și nu au avut prea mult succes a fost că, dacă erai o persoană aptă de muncă și primeai ajutor social.	 Nu au fost în stare să o împingă prin Maryland.
7036n_1441	 Nu îndrăznesc, domnule; mi-e frică de ei.  Ea s-a întors.	 După ce a spus că îi este frică de ei, fata a plecat.
20111e_1451	 Acest decalaj reflectă faptul că rata de rentabilitate a activelor americane din străinătate a depășit în mod constant rentabilitatea activelor deținute de străini în Statele Unite.	 Randamentul activelor noastre din străinătate depășește activele deținute de noi în străinătate 
94146c_1456	 Ipotezele demografice și economice implică o scădere bruscă a creșterii medii anuale a numărului total de ore lucrate, de la 0,7% până în 2010 la 0,2% între 2020 și 2075.	 Numărul agregat de ore lucrate a scăzut doar în ultimul deceniu.
45232n_1489	 Serios?  	 Este acesta cazul?
12385e_1493	 Între timp, a absolvit Colegiul Coppin State College, lucrează ca și consilier în domeniul drogurilor și alcoolului, a părăsit locuința subvenționată și plănuiește să înceapă anul acesta să lucreze la un masterat.	 Pe parcursul perioadei de timp din propoziția inițială, ea a mers la școală, a lucrat în domeniul ei, s-a mutat în propria locuință și va începe în curând următoarea facultate.
109290n_1523	 O limuzină gri, în care își puseseră mari speranțe, a fost localizată în Harrogate și s-a dovedit a fi proprietatea unei domnișoare foarte respectabile! 	 O domnișoară foarte respectabilă este văzută în oraș doar în limuzina ei gri.
130415c_1537	 Oricum, de ce ai presupune că acest comentariu are legătură cu afro-americanii?	 Nu credeți că acest comentariu are mult de-a face cu afro-americanii?
96929n_1556	 Da, fratele soției mele a avut o Honda Accord, locuiește în California, cred că avea 150.000 de kilometri la ea și a vândut-o. N-a avut nicio problemă cu ea, în timp ce eu am un Chevette și mașina are aproape 12 ani și am făcut 71.000 de kilometri și am avut probleme cu ea tot timpul.	 Am cumpărat Chevette-ul de la un prieten.
62793n_1586	 Autorul îndeamnă ambele părți să se recunoască învinse și să meargă mai departe.	 Autorul nu a vrut să se poziționeze de partea niciuneia dintre părți, deoarece nu dorea să provoace un conflict, așa că le-a spus ambelor părți să meargă mai departe și să treacă peste această problemă.
48513e_1602	 În sine, discrepanța nu are nicio semnificație aparentă, deși a fost subliniată de teoreticienii care susțin că TP a fost divulgat prin mai multe surse.	 Discrepanța nu este importantă.
90431c_1603	 Am așteptat până când am auzit ușa de afară zăngănind înainte de a o urma.	 Îl urmăream chiar înainte ca ușa de afară să se închidă.
22986c_1608	 Ce să înțeleg?	 Ce ai înțeles greșit?
81778e_1628	 Potrivit asociației, cele mai multe companii nu doresc să se implice în colectarea acestor beneficii, deoarece este prea dificil să urmărească milele sau punctele primite.	 Multe companii evită dificultățile inutile.
96460c_1645	 Dacă vă așteptați la un tărâm de coșmar cu zboruri charter, autobuze turistice și locuri de întâlnire pe plajă pline de bere, s-ar putea să fiți șocați de cât de îndepărtate și nedezvoltate rămân multe părți ale acestor insule mici.	 Cei care vin pentru o vacanță liniștită vor fi șocați de avalanșa totală de mercantilism și hedonism care a cuprins fiecare colț al insulelor.
128052n_1654	 Se pare că filmul se încheia cu un fum negru care ieșea din coșul de fum - dar nu vom ști niciodată, pentru că The Day the Clown Cried a fost considerat prea obscen pentru a fi lansat, iar Lewis s-a întors să defileze cu copii condamnați pe ecranul televizorului în cadrul unor teledonuri, în timp ce americanii se holbau la rezistența lui, iar senatorii îl nominalizau pentru Premiul Nobel pentru Pace.	 Imaginea se încheia cu o poză de fum negru care ieșea din coșul de fum.
122143e_1665	 și a fost prea mult pentru început și încă nu am terminat-o pentru că m-am oprit, m-am oprit și m-am gândit că ar fi mai bine să fac niște lucruri simple și să lucrez până la asta, pentru că a fost atât de dificil să o termin și erau atât de multe nuanțe și culori diferite și...	 Am fost copleșită, era prea mult de lucru. 
17377c_1673	 Tu nu crezi asta, eu doar...	 Tu așa crezi, dar eu nu cred că este așa.
3196c_1675	 Noi îi spunem "poala iubărețului".	 Locul a fost redenumit Lover's Leap.
137228n_1706	 Este vorba de faptul că nu studiază cu ferocitatea și angajamentul total al oamenilor care își dau seama (sau care au părinți care își dau seama) că o performanță școlară remarcabilă este singura lor șansă de a avea o șansă importantă în America.	 Succesul în America depinde de rezultate bune la școală.
111271c_1730	 Din toate lucrurile pe care Tuppence nu le-a spus!	 Din toate lucrurile pe care le bârfea Tuppence.
37872e_1738	 Diavolul!	 Lucifer!
126094e_1742	 Templul a fost construit în secolul al XIII-lea, dar sikhara s-a prăbușit, piatra sa poroasă a fost distrusă de furtuni și jefuitori și de conceptul ambițios al arhitectului său.	 Templul din secolul al XIII-lea a fost jefuit și sfâșiat de vreme.  
25124c_1748	 Îndrăznesc să spun, spuse Tommy supărat, că probabil a fost cu ei de la început.	 Tommy știa că nu era posibil ca ea să fi fost implicată cu ei.
55400e_1749	 Nu a fost atât de ușor, nici pe departe! 	 Acest lucru a fost greu din toate punctele de vedere.  
83388e_1756	 Podelele din lemn de esență tare, tavanele din lemn și pereții interiori din cărămidă și piatră erau ascunse în spatele unor învelitori și vopsea veche.	 Elementele frumoase din interior erau toate ascunse în spatele unor vechituri.
31272n_1764	 Pistolul nu i-a părăsit fruntea.	 Pistolul era îndreptat de la distanță spre fruntea ei. 
49366c_1771	 nu, nu, nu, ei au propriul lor buget după care se ghidează.	 Nu știu dacă au un buget.
29833e_1799	 Camera de filmat intră în cadru strâns pentru a arăta emoțiile complexe și diversele ticuri faciale care se joacă pe chipul frumos al lui Clooney, iar noi auzim o rafală de focuri de armă - pare să dureze la nesfârșit!	 Prim-plan al personajului interpretat de George Clooney, actorul chipeș și expresiv, înainte ca sunetul focurilor de armă să răsune în aer.
26640c_1834	 Da, ei bine, am fost îngrijorată mai ales de faptul că am copii mici acum, când îi scot afară în timpul verii și îi ard, adică trebuie să le dau cu protecție solară în mod constant când ies afară.	 Copiii mei ies tot timpul afară în timpul verii și ultimul lucru de care au nevoie este crema de protecție solară.
5779e_1846	 Ei bine, pentru mine este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este... este...	 Eu nu înțeleg religia.
114484n_1894	 Ceea ce nu este chiar un Nu.	 Nu este chiar un nu, dar cu siguranță nu este un da.
112626e_1901	 Istoricul legislativ al revizuirii din 1996 nu conține nicio discuție cu privire la cerința de a fi prezent în Statele Unite și niciun indiciu că Congresul a încercat să modifice practica existentă în ceea ce privește reprezentarea străinilor.	 Congresul are competența de a modifica practicile privind străinii.
120686c_1915	 Da, oh, bine, nu știu ce altceva pot spune despre asta.	 Mai am multe de spus despre asta.
25459e_1972	 Lawyers Trust Fund și, respectiv, LAP au ca scop îmbunătățirea serviciilor juridice pentru cei săraci, pentru a asigura o justiție egală în fața legii și, respectiv, pentru a crește încrederea publicului în administrarea justiției, a declarat președintele Curții Supreme de Justiție Mary Ann G. McMorrow.	 Mary Ann G. McMarrow este judecător-șef.
102997e_2000	 atât de mult știu că Mike Smith retragerea Mike Smith un cuplu de ani în urmă a lăsat o gaură mare ofensiv care nu Phillies arata pentru a conduce într-o mulțime de ruleaza	 Retragerea lui Mike Smith a îngreunat capacitatea ofensivă a celor de la Phillies.
59334e_2021	 Pielea ei părea să devină gri, iar ochii i s-au deschis de două ori mai mari decât în mod normal.	 Pielea ei și-a pierdut culoarea, iar ochii i s-au mărit.
107692n_2028	 Știința socială fără valori nu cere ca cei care o practică să nu aibă valori.	 Sociologia fără valori nu le spune practicanților săi să-și piardă valorile, ci mai degrabă să observe neutralitatea valorilor.
15358e_2037	 Da, singurul și unicul.	 Într-adevăr, unicat. 
35340e_2048	 Măsurând 4,1 pe 1,4 m, foaia este păstrată într-un sicriu de argint căptușit cu fier, așezat într-o urnă de marmură și ascunsă în Museo della Sidone, fiind rareori expusă publicului (cu excepția recentă a Anului Sfânt 2000).	 Cel mai adesea, publicul nu poate vedea foaia.
73543n_2091	 APHIS a respins cea de-a doua variantă deoarece a considerat că măsuri de atenuare mai puțin stricte decât cele propuse ar crește riscul de introducere a holerei porcinelor în Statele Unite și că condiții de atenuare mai stricte ar fi inutil de restrictive.	 Riscul ar crește.
116689e_2109	 El a spus că Hilliker va fi o persoană potrivită pentru a conduce organizația printr-un astfel de efort.	 Hilliker va fi liderul.
50099e_2114	 Newsweek sugerează, de asemenea, că 13 membri ai Heaven's Gate - echipajul de la sol - ar putea călători prin sud-vest, așteptând un semnal de la nava spațială.	 Newsweek dă de înțeles că 13 membri ai trupei Heaven's Gate ar putea traversa sud-vestul țării.
87775e_2123	 cincizeci de ani	 Cinci secole
112712e_2142	 dar asta e nu știu, cred că se bazează pe fundația pe care au construit-o deja, pentru că îi scoți pe cei din licee și facultăți care nu au pregătirea necesară pentru un curriculum de tip MIT.	 Elevii care provin de la licee și colegii nu au o pregătire pentru studiul tehnologic.
91739e_2146	 Peste câteva zile, convoiul de căruțe urma să se îndrepte spre nord, spre Tucson, dar acum activitatea din piață era un amestec de zi de piață și de sărbătoare.	 Erau la sud de Tucson.
49830e_2166	 dar exact	 Deși cu siguranță este adevărat.
12307e_2180	 Este regretabil că nu există nicio șansă ca aceste condiții să se repete, așa cum sugerați dumneavoastră."	 Vorbitorul vrea să se repete condițiile. 
6765e_2193	 Casa este extrem de plăcută, cu o amenajare complexă, mobilier din secolul al XVIII-lea, chinezării, jucării pentru copii și priveliști ale terenului și ale munților îndepărtați, în special din camerele aerisite din turnuleț.	 Hosue este frumos întreținut.
47676e_2209	 De asemenea, organizează în mod regulat demonstrații cu câini ciobănești și de tundere a oilor, toate într-un auditoriu acoperit, care vă permite să urmăriți ciobanii la lucru fără a fi nevoie să stați pe dealuri.	 Dacă vreți să-i vedeți pe ciobani la lucru, puteți merge în sala de spectacole.
